url,title,content,content_summary,title_translation,content_translation,summary translation,author,country,source_localtime,bangladesh_localtime
https://thenewsmill.com/2024/03/it-will-be-a-good-series-shanto-opens-up-on-bangladeshs-upcoming-t20i-series-against-sri-lanka/,“It will be a good series”: Shanto opens up on Bangladesh’s upcoming T20I series against Sri Lanka,"Ahead of Bangladesh’s three-match T20I series against Sri Lanka, the Bengal Tigers skipper Najmul Hossain Shanto hoped that it would be a “good” series.The first match of the three-game T20I series between Bangladesh and Sri Lanka will be played on Monday in Sylhet. While speaking at the pre-match press conference, Shanto said that Bangladesh working hard to win the series against Sri Lanka. “I think it will be a good series. We are doing everything we can to win this series. I am not feeling pressure about our opponents. We are focused on what we are doing. We want to do what we can control. Every international series has pressure, and that’s also true for our opponents. Everyone is capable of handling this pressure. Like I believe that all of our five or six bowlers can be match-winners,” Shanto was quoted by ESPNcricinfo as saying.The Bangladesh skipper expected that it would be a “very competitive” T20I series against Sri Lanka.“First and foremost, I expect this to be a very competitive series between two good sides,” he said. “What happened in the past, for me, that’s history. It’s gone. I think what we have to do is, certainly from our perspective, is concentrate on what’s in front of us and remember what we’re aiming for. Obviously, we are now in the build-up towards the World Cup. I think all teams now are sort of finalising their sides, their squads give an experience, so ultimately that’s what it is,” he added.He further added that they are preparing for the forthcoming T20 World Cup and the 20-over series against Sri Lanka would help them to do that.“We’re building up to a World Cup, and it’s great that we have such a good competition in front of us to do that, great series to do that in. So, as I said, I’m expecting a very exciting series. There’s some dangerous players on both sides. So I think it’ll be good fun. But as I said, what’s happened in the past is history. It’s about what’s in front of us now,” he added.Shanto will lead a strong Bangladesh squad in the six limited-overs matches at home against Sri Lanka next month. Veteran all-rounder Shakib Al Hasan continues to recover from the retinal issue that was discovered last month and misses out on the squads.The first match of the three-game T20I series between Bangladesh and Sri Lanka will be played on March 4 in Sylhet. The second and third matches of the series will take place on March 6 and 9. The last two matches of the series will also take place at the Sylhet International Cricket Stadium in Sylhet.Bangladesh T20I squad: Najmul Hossain Shanto (C), Litton Kumer Das, Anamul Haque Bijoy, Md Naim Sheikh, Tawhid Hridoy, Soumya Sarkar, Shak Mahedi Hasan, Mahmudullah, Taijul Islam, Rishad Hossain, Taskin Ahmed, Mustafizur Rahman, Shoriful Islam, Tanzim Hasan Sakib and Aliss Al Islam. (ANI)",None,None,None,None,ANI,bangladesh,2024-03-04 02:07:00,2024-03-04 02:37:00
https://thenewsmill.com/2024/03/more-unemployed-youths-in-india-than-bangladesh-bhutan-because-pm-modi-rahul-gandhi/,"“More unemployed youths in India than Bangladesh, Bhutan because PM Modi…”: Rahul Gandhi","During the Madhya Pradesh leg of the Bharat Jodo Nyay Yatra, Congress leader Rahul Gandhi said on Sunday that the nation is grappling with a higher number of unemployed youths compared to Bangladesh and Bhutan. The Congress MP said that the country has more unemployed youths than Bangladesh and Bhutan because Prime Minister Narendra Modi has finished small businesses. “Today, there has been maximum unemployment in the country in the last 40 years. India has double the unemployment as compared to Pakistan. We have more unemployed youth than Bangladesh and Bhutan because Narendra Modi has finished small businesses by demonetization and implementing GST,” Rahul Gandhi said while addressing a gathering in Madhya Pradesh’s Gwalior. The World Bank report points out that in 2022, the youth unemployment rate in India was at 23.22 per cent, which was higher than its neighbours Pakistan (11.3 per cent) and Bangladesh (12.9 per cent). Further, the Congress leader said that in terms of social injustice, the number of backward people in the country is 50 per cent, Tribal at eight per cent, and Dalit at 15 per cent. All these together amount to 73 per cent. “Not a single person among these 73 per cent will be found in big companies. Then Modi Ji says that I am working for the poor,” he said. Rahul Gandhi further said how one can object to caste census without knowing about the population and wealth of Dalits, Tribals and backward classes. “Why would anyone object to this? Narendra Modi ji says that there is no caste in the country. There are only two, poor and rich. If so then how did you become OBC?” he asked. “Narendra Modi ji is afraid because he does not want this 73 per cent to know the truth of the country,” Rahul Gandhi added. Earlier, highlighting the reason behind such high levels of unemployment in the country, Rahul Gandhi on Saturday blamed the Narendra Modi government’s economic policies like demonetization and the Goods and Services Tax, which he claimed, was a huge blow to the MSME sector, which employs the most youths in the country. As the Bharat Jodo Nyay Yatra entered Madhya Pradesh on Saturday, Rajasthan Pradesh Congress President Govind Singh Dotasra handed over the national flag to his Madhya Pradesh counterpart, Jitendra Patwari",None,None,None,None,ANI,bangladesh,2024-03-03 13:05:00,2024-03-03 13:35:00
https://thenewsmill.com/2024/02/sri-lanka-announce-t20i-squad-against-bangladesh-asalanka-to-lead-in-first-two-games/,"Sri Lanka announce T20I squad against Bangladesh, Asalanka to lead in first two games","Sri Lanka Cricket (SLC) on Wednesday announced the T20I squad which will face Bangladesh in the upcoming three-match 20-over series. Charith Asalanka will lead the Sri Lankan side in the initial two games of the series in the absence of suspended Wanindu Hasaranga.Pathum Nissanka has failed to make his place in the squad after he is still recovering from the injury he sustained in the recently concluded series against Afghanistan. Opener Avishka Fernando has been included in Nissanka’s place.Meanwhile, spinner Jeffrey Vandersay has been added to the squad. Vandersay played his last T20I game in February 2022.The International Cricket Council (ICC) on Saturday announced that Sri Lanka’s T20I captain Hasaranga has been suspended for two international matches after his accumulated demerit points reached five within a 24-month period following his latest breach of the ICC Code of Conduct, for which he received a 50 per cent fine and three demerit points.“Hasaranga was found guilty of breaching article 2.13 of the ICC Code of Conduct for Players and Player Support Personnel, which relates to “Personal abuse of a Player, Player Support Personnel, Umpire or Match Referee during an International Match,” ICC said in an official statement.Hasaranga’s five demerit points convert to two suspension points. As two suspension points equate to a ban from one Test or two ODIs or T20Is, whatever comes first for the player or player support personnel, Hasaranga stands suspended from Sri Lanka’s first two T20Is against Bangladesh next month.The three-match T20I series between Sri Lanka and Bangladesh will kick off on March 04. The second and third games will be played on March 6th and 9th respectively. All three games will be played in Sylhet International Cricket Stadium in Sylhet.Sri Lanka T20I squad: Wanindu Hasaranga (capt for last game), Charith Asalanka (capt for first two games), Kusal Mendis, Sadeera Samarawickrama, Angelo Mathews, Dasun Shanaka, Maheesh Theekshana, Dhananjaya de Silva, Kusal Janith Perera, Dilshan Madushanka, Nuwan Thushara, Matheesha Pathirana, Akila Dananjaya, Binura Fernando, Kamindu Mendis, Avishka Fernando, Jeffrey Vandersay. (ANI)",None,None,None,None,ANI,bangladesh,2024-02-29 00:02:00,2024-02-29 00:32:00
https://thenewsmill.com/2024/02/bangladesh-appoints-new-batting-bowling-coach-ahead-of-sri-lanka-series/,"Bangladesh appoints new batting, bowling coach ahead of Sri Lanka series","The Bangladesh Cricket Board (BCB) appointed David Hemp as the national men’s team batting coach and Andre Adams joined the team as the bowling coach for the national side ahead of the upcoming home series against Sri Lanka.Hemp, who was the High-Performance Head Coach since May 2023, has already had a stint with the national side and toured as Bangladesh’s batting coach during their tour of New Zealand last year.In addition, former New Zealand all-rounder Andre Adams has been appointed as the national team’s bowling coach. Both are signing a two-year deal. Their first task will be an upcoming home series against Sri Lanka. Hemp, a former Bermuda international, had a successful first-class cricket career, having batted for Glamorgan, Free State, and Warwickshire, scoring over 15,500 runs.He has an ECB Level 4 Coaching Certification and was the head coach of the Pakistan Women’s National Team from 2020 to 2022.Hemp formerly served as Head Coach of the Victoria State Women’s Team and the Melbourne Stars in the Women’s Big Bash League.Adams, a former New Zealand international, was the White Ferns’ bowling coach before joining Bangladesh. He has previously served as the bowling coach for the New Zealand men’s team in the recent T20I series against Pakistan and as Australia’s Assistant Coach in the 2022-23 series against South Africa. Adams was also the head bowling coach for the New South Wales Blues in the Australian Sheffield Shield from 2018 to 2023.Sri Lanka will tour Bangladesh for a multi-format tour in March 2024. (ANI)",None,None,None,None,ANI,bangladesh,2024-02-28 12:03:00,2024-02-28 12:33:00
https://thenewsmill.com/2024/02/mea-additional-secy-interacts-with-100-member-bangladesh-youth-delegation/,MEA Additional Secy interacts with 100-member Bangladesh Youth Delegation,"P Kumaran, the Additional Secretary at the Ministry of External Affairs, interacted with the ninth Bangladesh Youth Delegation of 100 members, here on Tuesday.The 100-member Bangladesh Youth Delegation is on an eight-day visit to India from February 25 to March 3.“Strengthening India-Bangladesh ties through youth engagement! OSD (ER & DPA) P. Kumaran interacted with the 9th Bangladesh Youth Delegation of 100 members, who are on an 8-day visit to India from Feb 25 – March 03, 2024. Today’s youth are poised to take our partnership to greater heights!” MEA spokesperson Randhir Jaiswal posted on X.https://x.com/MEAIndia/status/1762429338027512118?s=20Notably, the Bangladesh Youth Delegation Program was started in 2012 as a joint initiative by the Ministry of External Affairs and the Ministry of Youth Affairs and Sports.Under this, the delegation members interact with key personalities and institutions in India, ranging from the government, educational, business, and science and technology fields.The main objective of this youth program is to foster goodwill and understanding of each other’s countries and promote the exchange of ideas and understanding of values and culture among the youth.Meanwhile, Bangladesh Foreign Minister Hasan Mahmud was on an official visit to India on February 7-9.During the visit, he held meetings with President Droupadi Murmu, External Affairs Minister S Jaishankar and Union Commerce Minister Piyush Goyal.Mahmud lauded the robust and diversified relationship between Bangladesh and India, attributing the success to the strong leadership of Prime Minister Sheikh Hasina and Prime Minister Narendra Modi.",None,None,None,None,ANI,bangladesh,2024-02-27 20:01:00,2024-02-27 20:31:00
https://thenewsmill.com/2024/02/speedster-tayla-vlaeminck-returns-to-australia-squad-for-white-ball-tour-of-bangladesh-jess-jonassen-dropped/,Speedster Tayla Vlaeminck returns to Australia squad for white-ball tour of Bangladesh; Jess Jonassen dropped,"Australia’s preparations for this year’s T20 World Cup will go up a gear as the reigning champions tour Bangladesh for a bilateral series for the first time next month.After a harrowing sequence of injuries, speedster Tayla Vlaeminck returns to the Australian squad that will tour Bangladesh next month. Vlaeminck will get the opportunity to restart her international career after returning to the Australian squad for the national women’s team’s first trip to Bangladesh in a decade.However, experienced all-rounder Jess Jonassen’s international career is at a crossroads after being left out of the team that will play three ODIs and three T20Is.The six-game series (three ODIs and three T20Is) is the first time Australia’s women’s team have toured Bangladesh as part of a bilateral series and just the second time they have visited the Asian country following their ICC Women’s T20 World Cup success there in 2014.For the white-ball series, Australia called up a couple of outstanding players who have been fighting injuries to their 15-memebr team for their forthcoming white-ball tour of Bangladesh.With this year’s T20 World Cup set to take place in Bangladesh in September and October, the six-game trip will provide Alyssa Healy’s squad an excellent opportunity to familiarise themselves with the conditions that teams will experience during the 20-over showcase.Spin is expected to play a major role in that tournament, and Australia have recalled left-armer Sophie Molineux to their 15-player squad after she recently returned to the national set-up during a one-off Test against South Africa in Perth, while fast bowler Tayla Vlaeminck has also been included and is set to play her first international match since the start of 2022 due to an injury.The unfortunate players to drop out of the team are left-arm spinner Jonassen and seasoned all-rounder Heather Graham, but selector Shawn Flegler said the two will still have the opportunity to return to the international fold.“We’ve tried to pick a balanced squad with multiple bowling options and, unfortunately for Jess and Heather, they have missed out on this occasion. While we know both will be disappointed to miss out on selection, they’re exceptional cricketers who are highly valued by our group and we certainly haven’t counted them out of future opportunities,” Flegler said in an official statement by cricket.com.au. “With a T20 World Cup in Bangladesh in September, this tour provides a vital opportunity for our players to experience and familiarise themselves with the conditions and wickets we’re likely to face later in the year,” he added. The first of three ODIs will commence in Dhaka on March 21 with the T20I leg of the series to follow the 50-over contests.Australia squad: Alyssa Healy (c), Darcie Brown, Ashleigh Gardner, Kim Garth, Grace Harris (T20s only), Alana King, Phoebe Litchfield, Tahlia McGrath (vc), Sophie Molineux, Beth Mooney, Ellyse Perry, Megan Schutt, Annabel Sutherland, Georgia Wareham and Tayla Vlaeminck. (ANI)",None,None,None,None,ANI,bangladesh,2024-02-27 10:04:00,2024-02-27 10:34:00
https://thenewsmill.com/2024/02/it-is-like-a-circus-bangladesh-coach-chandika-hathurusinghe-on-bpl-calls-for-changes-in-tournament/,"“It is like a circus”: Bangladesh coach Chandika Hathurusinghe on BPL, calls for changes in tournament","Bangladesh coach Chandika Hathurusinghe has criticised the Bangladesh Premier League (BPL), claiming that it has not improved the country’s T20 cricket development.Hathurusinghe cited a lack of local participation in critical batting and bowling roles in the BPL, with clubs frequently depending on foreign players in crucial situations. He also stated that the ICC should intervene to guarantee that restrictions are in place for players who participate in various events within the same window.“We [Bangladesh] don’t have a proper T20 tournament. This sounds very odd. When I am watching the BPL, I sometimes turn off the TV. Some players are not even of the [required] class. I have a big issue with the current system. The ICC need to step in. There has to be some regulations. A player is playing one tournament and then he is playing another tournament. It is like a circus. Players will talk about opportunities, but that’s not right. People will lose interest. I have lost interest,” Hathurusinghe told ESPNcricinfo. Hathurusingha stated that Bangladesh players should be given major responsibilities in the BPL.“We need to have a tournament where our players can do things like batting in the top three… Bangladesh bowlers bowling in the death,” he said. “Where will we learn these things otherwise? We have only one tournament.”This season, Chattogram Challengers, Sylhet Strikers, and Durdanto Dhaka have depended on foreign players in their top three, but Comilla Victorians, Khulna Tigers, and Rangpur Riders have utilised more local players. Hathurusinghe believes the BCB should hold a separate competition for local players before the BPL to give them additional T20 experience. “My suggestion is that we have another tournament before the BPL. The franchises do what they want. Some of the best players are not playing. Then how do you expect the Bangladesh team to be up with the other teams? I am fighting a steep battle,” he said. (ANI)",None,None,None,None,ANI,bangladesh,2024-02-25 12:04:00,2024-02-25 12:34:00
https://thenewsmill.com/2024/02/maharashtra-three-bangladeshi-nationals-living-illegally-in-mumbai-arrested/,Maharashtra: Three Bangladeshi nationals living illegally in Mumbai arrested,"Three Bangladeshi nationals were arrested for allegedly living illegally in the Vikhroli Park Site area of Mumbai, police said. The arrests were made based on information that some Bangladeshi nationals were living illegally near the Lower Depot in the Park Site area of Vikhroli. As soon as the information was received, the police laid a trap in the area two days ago and took all three into custody.The three accused have been identified as Yusuf Sofan (58), Mominullah Sheikh (52) and Umedullah Noorulhaq (69), police said. According to the police, Yusuf had come to India a few years ago and his visa expired in 2020. Similarly, Sheikh was also living illegally, while the investigation revealed Noorulhaq had infiltrated India 25 years ago and since then he has been living illegally in Mumbai.The police suspect that there is a possibility of a large number of Bangladeshi nationals living here and are investigating the matter.Further information is awaited",None,None,None,None,ANI,bangladesh,2024-02-24 10:23:00,2024-02-24 10:53:00
https://thenewsmill.com/2024/02/human-trafficking-case-nia-arrests-two-absconding-bangladeshi-nationals-from-karnataka/,Human trafficking case: NIA arrests two absconding Bangladeshi nationals from Karnataka,"The National Investigation Agency (NIA) has arrested two absconding Bangladeshi nationals in a human trafficking case, the agency said on Friday.The arrest of Mohammed Sajjid Haldar and Idris takes the total number of arrests to 14 in the case.As per the NIA, the accused were arrested from Karnataka following a massive search operation conducted by its officials.“The duo had been on the run, and were tracked and nabbed on Thursday night with the assistance of the Internal Security Division of Karnataka,” said the anti-terror agency.The NIA, which had busted the racket in November 2023 following nationwide raids, found during investigations that Haldar and Idris had illegally crossed into India via Benapole at the Indo-Bangladesh border. Haldar had set up a Waste Collection and Segregation unit at K Chanasandra in Rama Murthi Nagar, Bengaluru, and had employed other Bangladeshi nationals in his operations.“Investigations have further revealed that Idris had also set up a waste collection and segregation unit at Anadapura, Bengaluru, where he had leased out land and set up tents for more than 20 Bangladeshi families, who were suspected to have been trafficked by him. Investigations to corroborate these details are continuing,” said the NIA.The NIA registered the case on November 7, 2023, after receiving credible inputs about certain Karnataka-based persons having linkages with facilitators and traffickers in Assam, Tripura and countries across the border. “The linkages had exposed a large network of traffickers engaged in smuggling individuals into India through the Indo-Bangladesh border. The accused were also found involved in fabricating and providing fake Aadhar cards to the victims,”The NIA, which had earlier arrested and chargesheeted 12 Bangladeshi nationals under relevant sections of the IPC and Unlawful Activities (Prevention) Act, 1967, is continuing to crack down on traffickers active along the Indo-Bangladesh border",None,None,None,None,ANI,bangladesh,2024-02-23 19:37:00,2024-02-23 20:07:00
https://thenewsmill.com/2024/02/bangladesh-pacer-mustafizur-rahman-hospitalised-after-head-injury/,Bangladesh pacer Mustafizur Rahman hospitalised after head injury,"Bangladesh pacer Mustafizur Rahman on Sunday was taken to hospital after he suffered a blow to the head during a Comilla Victorians practice session at the Zahur Ahmed Chowdhury Stadium, according to ESPNcricinfo. The 28-year-old fell to the ground after he was hit by the ball on the left side of his head. The incident took place as the Victorians were preparing for their upcoming Bangladesh Premier League (BPL) fixture against Sylhet Strikers. Comilla Victorians’ physio Zahidul Islam said that there was an open wound on Rahman’s head after he suffered the injury. “During practice, a ball hit directly at the left parietal area (head) of Mustafizur Rahman. There was an open wound in his parietal area and we worked with a compression bandage to stop bleeding and immediately shifted him to Imperial Hospital. After the CT scan, we are satisfied that he had only external injury. There is no intracranial bleeding. Now the surgical team has given him stitches on the open wound,” Islam was quoted by ESPNcricinfo as saying. “When we were prepping him for the ride to the hospital, he seemed to be acting normally,” Comilla’s media manager Sohanuzzaman Khan told ESPNcricinfo. After playing nine games in the ongoing BPL, the Victorians stand in second place on the standings with 14 points by their name. (ANI)",None,None,None,None,ANI,bangladesh,2024-02-18 16:00:00,2024-02-18 16:30:00
